ORF,Name,Allele,Strain_ID,Plate,Row,Column
YBR054W,YRO2,,dma220,1,6,8
YBR165W,UBS1,,dma317,1,6,9
YBR053C,,,dma221,1,6,10
YBR164C,ARL1,,dma318,1,6,11
YBR052C,RFS1,,dma222,1,6,12
YBR162W-A,YSY6,,dma319,1,6,13
YBR051W,,,dma223,1,6,14
YBR162C,TOS1,,dma320,1,6,15
YBR050C,REG2,,dma224,1,6,16
YBR161W,CSH1,,dma321,1,6,17
YBR048W,RPS11B,,dma225,1,6,18
YBR159W,IFA38,,dma322,1,6,19
YBR047W,FMP23,,dma226,1,6,20
YBR158W,AMN1,,dma323,1,6,21
YBR046C,ZTA1,,dma227,1,6,22
YBR157C,ICS2,,dma324,1,6,23
YOR202W,HIS3,,dma1,1,6,24
YOR202W,HIS3,,dma1,1,7,1
YAL054C,ACS1,,dma37,1,7,2
YBL064C,PRX1,,dma134,1,7,3
YAL053W,FLC2,,dma38,1,7,4
YBL063W,KIP1,,dma135,1,7,5
YAL051W,OAF1,,dma39,1,7,6
YBL062W,,,dma136,1,7,7
YAL049C,AIM2,,dma40,1,7,8
YBL061C,SKT5,,dma137,1,7,9
YAL045C,,,dma41,1,7,10
YBL060W,YEL1,,dma138,1,7,11
YAL042C-A,,,dma42,1,7,12
YBL059W,,,dma139,1,7,13
YAL042W,ERV46,,dma43,1,7,14
YBL057C,PTH2,,dma140,1,7,15
YAL040C,CLN3,,dma44,1,7,16
YBL056W,PTC3,,dma141,1,7,17
YAL037W,,,dma45,1,7,18
YBL055C,,,dma142,1,7,19
YAL036C,RBG1,,dma46,1,7,20
YBL054W,TOD6,,dma143,1,7,21
YAL034C,FUN19,,dma47,1,7,22
YBL053W,,,dma144,1,7,23
YOR202W,HIS3,,dma1,1,7,24
YOR202W,HIS3,,dma1,1,8,1
YBR071W,,,dma229,1,8,2
YBR182C,SMP1,,dma326,1,8,3
YBR069C,TAT1,,dma230,1,8,4
YBR181C,RPS6B,,dma327,1,8,5
YBR068C,BAP2,,dma231,1,8,6
YBR180W,DTR1,,dma328,1,8,7
YBR067C,TIP1,,dma232,1,8,8
YBR178W,,,dma329,1,8,9
YBR066C,NRG2,,dma233,1,8,10
YBR177C,EHT1,,dma330,1,8,11
YBR065C,ECM2,,dma234,1,8,12
YBR176W,ECM31,,dma331,1,8,13
YBR064W,,,dma235,1,8,14
YBR175W,SWD3,,dma332,1,8,15
YBR063C,,,dma236,1,8,16
YBR174C,,,dma333,1,8,17
YBR062C,,,dma237,1,8,18
YBR172C,SMY2,,dma334,1,8,19
YBR061C,TRM7,,dma238,1,8,20
YBR171W,SEC66,,dma335,1,8,21
YBR059C,AKL1,,dma239,1,8,22
YBR170C,NPL4,,dma336,1,8,23
YOR202W,HIS3,,dma1,1,8,24
YOR202W,HIS3,,dma1,1,9,1
YAL066W,,,dma49,1,9,2
YBL079W,NUP170,nup170-supp1,dma146,1,9,3
YAL065C,,,dma50,1,9,4
YBL078C,ATG8,,dma147,1,9,5
YAL064C-A,TDA8,,dma51,1,9,6
YBL075C,SSA3,,dma148,1,9,7
YAL062W,GDH3,,dma52,1,9,8
YBL072C,RPS8A,,dma149,1,9,9
YAL061W,BDH2,,dma53,1,9,10
YBL071C,,,dma150,1,9,11
YAL060W,BDH1,,dma54,1,9,12
YBL070C,,,dma151,1,9,13
YAL059W,ECM1,,dma55,1,9,14
YBL069W,AST1,,dma152,1,9,15
YAL058W,CNE1,,dma56,1,9,16
YBL068W,PRS4,,dma153,1,9,17
YAL056C-A,,,dma57,1,9,18
YBL067C,UBP13,,dma154,1,9,19
YAL056W,GPB2,,dma58,1,9,20
YBL066C,SEF1,,dma155,1,9,21
YAL055W,PEX22,,dma59,1,9,22
YBL065W,,,dma156,1,9,23
YOR202W,HIS3,,dma1,1,9,24
YOR202W,HIS3,,dma1,1,10,1
YBR090C,,,dma241,1,10,2
YBR199W,KTR4,,dma338,1,10,3
YBR084W,MIS1,,dma242,1,10,4
YBR197C,,,dma339,1,10,5
YBR084C-A,RPL19A,,dma243,1,10,6
YBR195C,MSI1,,dma340,1,10,7
YBR083W,TEC1,,dma244,1,10,8
YBR194W,AIM4,,dma341,1,10,9
YBR082C,UBC4,,dma245,1,10,10
YBR189W,RPS9B,,dma342,1,10,11
YBR077C,SLM4,,dma246,1,10,12
YBR188C,NTC20,,dma343,1,10,13
YBR076W,ECM8,,dma247,1,10,14
YBR187W,GDT1,,dma344,1,10,15
YBR075W,,,dma248,1,10,16
YBR186W,PCH2,,dma345,1,10,17
YBR074W,PFF1,,dma249,1,10,18
YBR185C,MBA1,,dma346,1,10,19
YBR073W,RDH54,,dma250,1,10,20
YBR184W,,,dma347,1,10,21
YBR072W,HSP26,,dma251,1,10,22
YBR183W,YPC1,,dma348,1,10,23
YOR202W,HIS3,,dma1,1,10,24
YOR202W,HIS3,,dma1,1,11,1
YAR027W,UIP3,,dma61,1,11,2
YBL094C,,,dma158,1,11,3
YAR023C,,,dma62,1,11,4
YBL091C-A,SCS22,,dma159,1,11,5
YAR020C,PAU7,,dma63,1,11,6
YBL091C,MAP2,,dma160,1,11,7
YAR018C,KIN3,,dma64,1,11,8
YBL089W,AVT5,,dma161,1,11,9
YAR015W,ADE1,,dma65,1,11,10
YBL088C,TEL1,,dma162,1,11,11
YAR014C,BUD14,,dma66,1,11,12
YBL087C,RPL23A,,dma163,1,11,13
YAR003W,SWD1,,dma67,1,11,14
YBL086C,,,dma164,1,11,15
YAR002W,NUP60,,dma68,1,11,16
YBL085W,BOI1,,dma165,1,11,17
YAR002C-A,ERP1,,dma69,1,11,18
YBL083C,,,dma166,1,11,19
YAL068C,PAU8,,dma70,1,11,20
YBL082C,ALG3,,dma167,1,11,21
YAL067C,SEO1,,dma71,1,11,22
YBL081W,,,dma168,1,11,23
YOR202W,HIS3,,dma1,1,11,24
YOR202W,HIS3,,dma1,1,12,1
YBR104W,YMC2,,dma253,1,12,2
YBR212W,NGR1,,dma350,1,12,3
YBR103W,SIF2,,dma254,1,12,4
YBR210W,ERV15,,dma351,1,12,5
YBR101C,FES1,,dma255,1,12,6
YBR209W,,,dma352,1,12,7
YBR100W,,,dma256,1,12,8
YBR208C,"DUR1,2",,dma353,1,12,9
YBR099C,,,dma257,1,12,10
YBR207W,FTH1,,dma354,1,12,11
YBR098W,MMS4,,dma258,1,12,12
YBR206W,,,dma355,1,12,13
YBR095C,RXT2,,dma259,1,12,14
YBR205W,KTR3,,dma356,1,12,15
YBR094W,PBY1,,dma260,1,12,16
YBR204C,LDH1,,dma357,1,12,17
YBR093C,PHO5,,dma261,1,12,18
YBR203W,COS111,,dma358,1,12,19
YBR092C,PHO3,,dma262,1,12,20
YBR201W,DER1,,dma359,1,12,21
YBR089C-A,NHP6B,,dma263,1,12,22
YBR200W,BEM1,,dma360,1,12,23
YOR202W,HIS3,,dma1,1,12,24
YOR202W,HIS3,,dma1,1,13,1
YAR047C,,,dma73,1,13,2
YBR001C,NTH2,,dma170,1,13,3
YAR044W,,,dma74,1,13,4
YBL107C,MIX23,,dma171,1,13,5
YAR043C,,,dma75,1,13,6
YBL106C,SRO77,,dma172,1,13,7
YAR042W,SWH1,,dma76,1,13,8
YBL104C,SEA4,,dma173,1,13,9
YAR040C,,,dma77,1,13,10
YBL103C,RTG3,,dma174,1,13,11
YAR037W,,,dma78,1,13,12
