ORF,Name,Allele,Strain_ID,Plate,Row,Column
YHR088W,RPF1,rpf1-1,tsa1000,3,8,7
YER003C,PMI40,pmi40-5001,tsa1081,3,8,8
YIL147C,SLN1,sln1-ts4,tsa1001,3,8,9
YER023W,PRO3,pro3-5001,tsa1082,3,8,10
YKL052C,ASK1,ask1-3,tsa1002,3,8,11
BLANK,BLANK,,,3,8,12
YKL052C,ASK1,ask1-2,tsa1003,3,8,13
YFL022C,FRS2,frs2-5001,tsa1083,3,8,14
YML023C,NSE5,nse5-ts1,tsa1004,3,8,15
YGL011C,SCL1,scl1-5001,tsa1084,3,8,16
YML023C,NSE5,nse5-ts2,tsa1005,3,8,17
BLANK,BLANK,,,3,8,18
YML023C,NSE5,nse5-ts3,tsa1006,3,8,19
BLANK,BLANK,,,3,8,20
YML023C,NSE5,nse5-ts4,tsa1007,3,8,21
BLANK,BLANK,,,3,8,22
YPR016C,TIF6,tif6-ts1,tsa1008,3,8,23
BLANK,BLANK,,,3,8,24
YOR202W,HIS3,his3,tsa817,3,9,1
YOR202W,HIS3,his3,tsa913,3,9,2
YPR168W,NUT2,nut2-ts,tsa818,3,9,3
YOR048C,RAT1,rat1-1,tsa914,3,9,4
YPR178W,PRP4,prp4-ts,tsa819,3,9,5
YPR103W,PRE2,pre2-1-supp1,tsa915,3,9,6
YGL234W,"ADE5,7","ade5,7",tsa820,3,9,7
YPR103W,PRE2,pre2-127,tsa916,3,9,8
YAR019C,CDC15,cdc15-1,tsa821,3,9,9
YPR103W,PRE2,pre2-2,tsa917,3,9,10
YBL034C,STU1,stu1-12,tsa822,3,9,11
YPR103W,PRE2,pre2-75,tsa918,3,9,12
YFR051C,RET2,ret2-1,tsa823,3,9,13
YDL207W,GLE1,gle1-2,tsa919,3,9,14
YGL093W,SPC105,spc105-4,tsa824,3,9,15
YDL207W,GLE1,gle1-4,tsa920,3,9,16
YBR154C,RPB5,rpb5-h147r,tsa825,3,9,17
YPR103W,PRE2,pre2-v214a,tsa921,3,9,18
YDL126C,CDC48,cdc48-1,tsa826,3,9,19
YPL160W,CDC60,cdc60-ts,tsa922,3,9,20
YJR093C,FIP1,fip1-433,tsa827,3,9,21
YBR135W,CKS1,cks1-35,tsa923,3,9,22
YNR043W,MVD1,mvd1-1296,tsa828,3,9,23
YOR181W,LAS17,las17-13,tsa924,3,9,24
YOR202W,HIS3,his3,tsa1009,3,10,1
BLANK,BLANK,,,3,10,2
YPR016C,TIF6,tif6-ts4,tsa1010,3,10,3
YDR235W,PRP42,prp42-5001,tsa1085,3,10,4
YPR133C,SPN1,spn1-k192n,tsa1011,3,10,5
BLANK,BLANK,,,3,10,6
YDR437W,GPI19,gpi19-2xh,tsa1012,3,10,7
BLANK,BLANK,,,3,10,8
YDL105W,NSE4,nse4-ts2,tsa1013,3,10,9
YDR280W,RRP45,rrp45-5001,tsa1086,3,10,10
YDR437W,GPI19,gpi19-2,tsa1014,3,10,11
BLANK,BLANK,,,3,10,12
YBL093C,ROX3,rox3-182,tsa1015,3,10,13
BLANK,BLANK,,,3,10,14
YDR188W,CCT6,cct6-18,tsa1016,3,10,15
BLANK,BLANK,,,3,10,16
YHR058C,MED6,med6-ts,tsa1017,3,10,17
YEL026W,SNU13,snu13-5001,tsa1087,3,10,18
YER069W,"ARG5,6","arg5,6",tsa1018,3,10,19
BLANK,BLANK,,,3,10,20
YNL163C,RIA1,ria1-ts,tsa1019,3,10,21
YDR118W,APC4,apc4-5001,tsa1088,3,10,22
YLR186W,EMG1,emg1-1-supp1,tsa1020,3,10,23
BLANK,BLANK,,,3,10,24
YOR202W,HIS3,his3,tsa829,3,11,1
YOR202W,HIS3,his3,tsa925,3,11,2
YOR057W,SGT1,sgt1-3,tsa830,3,11,3
YFR028C,CDC14,cdc14-8,tsa926,3,11,4
YOR116C,RPO31,rpo31-698,tsa831,3,11,5
YOR074C,CDC21,cdc21-1,tsa927,3,11,6
YPR086W,SUA7,sua7-c149r,tsa832,3,11,7
YDR510W,SMT3,smt3-331,tsa928,3,11,8
YML010W,SPT5,spt5-194,tsa833,3,11,9
YJL019W,MPS3,mps3-7,tsa929,3,11,10
YGR116W,SPT6,spt6-14,tsa834,3,11,11
YPR034W,ARP7,arp7-e411k,tsa930,3,11,12
YGR156W,PTI1,pti1-ts1-supp1,tsa835,3,11,13
YIL126W,STH1,sth1-3,tsa931,3,11,14
YIL118W,RHO3,rho3-ser228,tsa836,3,11,15
YOR204W,DED1,ded1-f144c,tsa932,3,11,16
YKL112W,ABF1,abf1-101,tsa837,3,11,17
YBR143C,SUP45,sup45-ts,tsa933,3,11,18
YKL203C,TOR2,tor2-29,tsa838,3,11,19
YDL007W,RPT2,rpt2-rf,tsa934,3,11,20
YKR037C,SPC34,spc34-5,tsa839,3,11,21
YFL034C-B,MOB2,mob2-14,tsa935,3,11,22
YLR298C,YHC1,yhc1-3,tsa840,3,11,23
YFL034C-B,MOB2,mob2-28,tsa936,3,11,24
YOR202W,HIS3,his3,tsa1021,3,12,1
BLANK,BLANK,,,3,12,2
YOR212W,STE4,ste4,tsa1022,3,12,3
YKL196C,YKT6,ykt6-5001,tsa1089,3,12,4
YLR430W,SEN1,sen1-1,tsa1023,3,12,5
BLANK,BLANK,,,3,12,6
YLR430W,SEN1,sen1-1,tsa1024,3,12,7
BLANK,BLANK,,,3,12,8
YOL144W,NOP8,nop8-101,tsa1025,3,12,9
BLANK,BLANK,,,3,12,10
YLR022C,SDO1,sdo1-vma1-ts,tsa1026,3,12,11
YKR068C,BET3,bet3-5001,tsa1090,3,12,12
YPR161C,SGV1,sgv1-23,tsa1027,3,12,13
BLANK,BLANK,,,3,12,14
YPR161C,SGV1,sgv1-80,tsa1028,3,12,15
BLANK,BLANK,,,3,12,16
YPR161C,SGV1,sgv1-35,tsa1029,3,12,17
BLANK,BLANK,,,3,12,18
YOL021C,DIS3,dis3-1,tsa1030,3,12,19
BLANK,BLANK,,,3,12,20
YKL024C,URA6,ura6-4,tsa1031,3,12,21
YDL111C,RRP42,rrp42-5001,tsa1091,3,12,22
YKL024C,URA6,ura6-5,tsa1032,3,12,23
YGR278W,CWC22,cwc22-5001,tsa1092,3,12,24
YOR202W,HIS3,his3,tsa841,3,13,1
YOR202W,HIS3,his3,tsa937,3,13,2
YLR298C,YHC1,yhc1-6,tsa842,3,13,3
YGR099W,TEL2,tel2-15,tsa938,3,13,4
YOR212W,STE4,ste4,tsa843,3,13,5
YFL034C-B,MOB2,mob2-19,tsa939,3,13,6
YLR298C,YHC1,yhc1-8,tsa844,3,13,7
YFL034C-B,MOB2,mob2-20,tsa940,3,13,8
YMR168C,CEP3,cep3-2,tsa845,3,13,9
YNL061W,NOP2,nop2-10,tsa941,3,13,10
YML069W,POB3,pob3-l78r,tsa846,3,13,11
YMR005W,TAF4,taf4-18,tsa942,3,13,12
YML069W,POB3,pob3-q308k,tsa847,3,13,13
YOL123W,HRP1,hrp1-7,tsa943,3,13,14
YJL085W,EXO70,exo70-38,tsa848,3,13,15
YOR046C,DBP5,dbp5-2,tsa944,3,13,16
YOR149C,SMP3,smp3-1,tsa849,3,13,17
YPR033C,HTS1,hts1-1,tsa945,3,13,18
YOR260W,GCD1,gcd1-502,tsa850,3,13,19
YLR215C,CDC123,cdc123-4,tsa946,3,13,20
YDL126C,CDC48,cdc48-4601,tsa851,3,13,21
YIL046W,MET30,met30-9,tsa947,3,13,22
